Wall time,Step,Value
1685477162.9850624,0,0.712265133857727
1685477178.58213,1,0.7082180976867676
1685477193.6932588,2,0.7014844417572021
1685477208.8918521,3,0.6930873990058899
1685477224.188636,4,0.680023729801178
1685477239.293456,5,0.6670302152633667
1685477254.3555868,6,0.6509297490119934
1685477269.4115267,7,0.637096643447876
1685477284.8553774,8,0.62212073802948
1685477300.4780686,9,0.6090234518051147
1685477316.073207,10,0.5973411798477173
1685477331.716469,11,0.5849500298500061
1685477346.9938006,12,0.5765671730041504
1685477362.3896904,13,0.5680742859840393
1685477378.037361,14,0.5577801465988159
1685477393.534177,15,0.5489202737808228
1685477409.0796728,16,0.5437716841697693
1685477424.587363,17,0.5274717807769775
1685477439.8662736,18,0.5199825167655945
1685477455.5990345,19,0.5172491073608398
1685477470.9021988,20,0.5094059705734253
1685477486.2174137,21,0.5037062168121338
1685477501.870566,22,0.49311208724975586
1685477517.1493967,23,0.4887443482875824
1685477532.4177895,24,0.4812464416027069
1685477547.9181252,25,0.4775038957595825
1685477563.4219258,26,0.467528760433197
1685477579.015923,27,0.464249849319458
1685477594.4061456,28,0.46189388632774353
1685477610.0015233,29,0.4564489424228668
1685477625.925757,30,0.45659542083740234
1685477641.2460709,31,0.4464758634567261
1685477656.7623117,32,0.445995956659317
1685477672.1673317,33,0.43960803747177124
1685477687.5658631,34,0.43605467677116394
1685477702.9067502,35,0.42581799626350403
1685477718.2025063,36,0.4294079542160034
1685477733.6899133,37,0.4286338686943054
1685477749.7279308,38,0.4185042977333069
1685477765.074061,39,0.41622689366340637
1685477780.4902663,40,0.4186595678329468
1685477795.7529244,41,0.4027487337589264
1685477811.4255238,42,0.4064631164073944
1685477826.608268,43,0.3990439474582672
1685477842.0761278,44,0.4005630910396576
1685477857.26784,45,0.39665815234184265
1685477873.5604088,46,0.3894519805908203
1685477890.2750182,47,0.3915344178676605
1685477905.6565397,48,0.3897820711135864
1685477921.3273034,49,0.3896428048610687
