Wall time,Step,Value
1687297057.4956815,0,0.35283946990966797
1687297112.6806612,2,0.5742295384407043
1687297168.0919871,4,0.6280234456062317
1687297223.430692,6,0.6906329989433289
1687297278.4532783,8,0.7401365041732788
1687297333.2680373,10,0.7178559303283691
1687297388.0982547,12,0.7376310229301453
1687297442.9704714,14,0.7092370390892029
1687297497.8365998,16,0.7271124124526978
1687297552.471339,18,0.6719052791595459
1687297607.2500005,20,0.664553701877594
1687297661.6925235,22,0.7470968961715698
1687297716.3318229,24,0.6851798295974731
1687297771.021985,26,0.7147006988525391
1687297825.8210428,28,0.7344178557395935
1687297880.4855297,30,0.7123932242393494
1687297934.9984007,32,0.7192615270614624
1687297989.1233332,34,0.6868739724159241
1687298043.713622,36,0.7207818031311035
1687298098.5593765,38,0.6783545613288879
