Wall time,Step,Value
1687298162.2276132,0,0.16277602314949036
1687298217.2310631,2,0.35557645559310913
1687298272.2093782,4,0.519945502281189
1687298326.9719598,6,0.5645711421966553
1687298381.6410623,8,0.6075855493545532
1687298436.4360116,10,0.6377171277999878
1687298491.4746742,12,0.6981645226478577
1687298546.2574122,14,0.6593570113182068
1687298600.8956883,16,0.688746988773346
1687298656.110686,18,0.657884418964386
1687298711.2542636,20,0.6535652875900269
1687298766.0902584,22,0.6310791969299316
1687298820.8628478,24,0.6786373853683472
1687298875.5498075,26,0.6602604389190674
1687298930.0371566,28,0.6633111834526062
1687298984.4767253,30,0.6612688899040222
1687299039.440817,32,0.625334620475769
1687299094.1967883,34,0.6008450388908386
1687299148.8007317,36,0.67207270860672
1687299203.2890077,38,0.6610284447669983
